"CIP_Code","CIP","CIP_T"
22.0205,220205,"Banking, Corporate, Finance, and Securities Law."
22.0206,220206,Comparative Law.
22.0207,220207,"Energy, Environment, and Natural Resources Law."
22.0208,220208,Health Law.
22.0209,220209,International Law and Legal Studies.
22.0210,220210,"International Business, Trade, and Tax Law."
22.0211,220211,Tax Law/Taxation.
22.0212,220212,Intellectual Property Law.
22.0299,220299,"Legal Research and Advanced Professional Studies, Other."
22.0301,220301,Legal Administrative Assistant/Secretary.
22.0302,220302,Legal Assistant/Paralegal.
22.0303,220303,Court Reporting/Court Reporter.
22.0399,220399,"Legal Support Services, Other."
22.9999,229999,"Legal Professions and Studies, Other."
23.0101,230101,"English Language and Literature, General."
23.0401,230401,English Composition.
23.0501,230501,Creative Writing.
23.0701,230701,American Literature (United States).
23.0702,230702,American Literature (Canadian).
23.0801,230801,English Literature (British and Commonwealth).
23.1001,231001,Speech and Rhetorical Studies.
23.1101,231101,Technical and Business Writing.
23.1301,231301,"Writing, General."
23.1302,231302,Creative Writing.
23.1303,231303,"Professional, Technical, Business, and Scientific Writing."
23.1304,231304,Rhetoric and Composition.
23.1399,231399,"Rhetoric and Composition/Writing Studies, Other."
23.1401,231401,General Literature.
23.1402,231402,American Literature (United States).
23.1403,231403,American Literature (Canadian).
23.1404,231404,English Literature (British and Commonwealth).
23.1405,231405,Children's and Adolescent Literature.
23.1499,231499,"Literature, Other."
23.9999,239999,"English Language and Literature/Letters, Other."
24.0101,240101,Liberal Arts and Sciences/Liberal Studies.
24.0102,240102,General Studies.
24.0103,240103,Humanities/Humanistic Studies.
24.0199,240199,"Liberal Arts and Sciences, General Studies and Humanities, Other."
25.0101,250101,Library and Information Science.
25.0102,250102,Children and Youth Library Services.
25.0103,250103,Archives/Archival Administration.
25.0199,250199,"Library Science and Administration, Other."
25.0301,250301,Library and Archives Assisting.
25.9999,259999,"Library Science, Other."
26.0101,260101,"Biology/Biological Sciences, General."
26.0102,260102,"Biomedical Sciences, General."
26.0202,260202,Biochemistry.
26.0203,260203,Biophysics.
26.0204,260204,Molecular Biology.
26.0205,260205,Molecular Biochemistry.
26.0206,260206,Molecular Biophysics.
26.0207,260207,Structural Biology.
26.0208,260208,Photobiology.
26.0209,260209,Radiation Biology/Radiobiology.
26.0210,260210,Biochemistry and Molecular Biology.
26.0299,260299,"Biochemistry, Biophysics and Molecular Biology, Other."
26.0301,260301,Botany/Plant Biology.
26.0305,260305,Plant Pathology/Phytopathology.
26.0307,260307,Plant Physiology.
26.0308,260308,Plant Molecular Biology.
26.0399,260399,"Botany/Plant Biology, Other."
26.0401,260401,Cell/Cellular Biology and Histology.
26.0403,260403,Anatomy.
26.0404,260404,Developmental Biology and Embryology.
26.0405,260405,Neuroanatomy.
26.0406,260406,Cell/Cellular and Molecular Biology.
26.0407,260407,Cell Biology and Anatomy.
26.0499,260499,"Cell/Cellular Biology and Anatomical Sciences, Other."
26.0502,260502,"Microbiology, General."
26.0503,260503,Medical Microbiology and Bacteriology.
26.0504,260504,Virology.
26.0505,260505,Parasitology.
26.0506,260506,Mycology.
26.0507,260507,Immunology.
26.0508,260508,Microbiology and Immunology.
26.0599,260599,"Microbiological Sciences and Immunology, Other."
26.0701,260701,Zoology/Animal Biology.
26.0702,260702,Entomology.
26.0707,260707,Animal Physiology.
26.0708,260708,Animal Behavior and Ethology.
26.0709,260709,Wildlife Biology.
26.0799,260799,"Zoology/Animal Biology, Other."
26.0801,260801,"Genetics, General."
26.0802,260802,Molecular Genetics.
26.0803,260803,Microbial and Eukaryotic Genetics.
26.0804,260804,Animal Genetics.
26.0805,260805,Plant Genetics.
26.0806,260806,Human/Medical Genetics.
26.0807,260807,Genome Sciences/Genomics.
26.0899,260899,"Genetics, Other."
26.0901,260901,"Physiology, General."
26.0902,260902,Molecular Physiology.
26.0903,260903,Cell Physiology.
26.0904,260904,Endocrinology.
26.0905,260905,Reproductive Biology.
26.0906,260906,Neurobiology and Neurophysiology.
26.0907,260907,Cardiovascular Science.
26.0908,260908,Exercise Physiology.
26.0909,260909,Vision Science/Physiological Optics.
26.0910,260910,Pathology/Experimental Pathology.
26.0911,260911,Oncology and Cancer Biology.
26.0912,260912,Aerospace Physiology and Medicine.
26.0999,260999,"Physiology, Pathology, and Related Sciences, Other."
26.1001,261001,Pharmacology.
26.1002,261002,Molecular Pharmacology.
26.1003,261003,Neuropharmacology.
26.1004,261004,Toxicology.
26.1005,261005,Molecular Toxicology.
26.1006,261006,Environmental Toxicology.
26.1007,261007,Pharmacology and Toxicology.
26.1099,261099,"Pharmacology and Toxicology, Other."
26.1101,261101,Biometry/Biometrics.
26.1102,261102,Biostatistics.
26.1103,261103,Bioinformatics.
26.1104,261104,Computational Biology.
26.1199,261199,"Biomathematics, Bioinformatics, and Computational Biology, Other."
26.1201,261201,Biotechnology.
26.1301,261301,Ecology.
26.1302,261302,Marine Biology and Biological Oceanography.
26.1303,261303,Evolutionary Biology.
26.1304,261304,Aquatic Biology/Limnology.
26.1305,261305,Environmental Biology.
26.1306,261306,Population Biology.
26.1307,261307,Conservation Biology.
26.1308,261308,Systematic Biology/Biological Systematics.
26.1309,261309,Epidemiology.
26.1310,261310,Ecology and Evolutionary Biology.
26.1399,261399,"Ecology, Evolution, Systematics and Population Biology, Other."
26.1401,261401,Molecular Medicine.
26.1501,261501,Neuroscience.
26.1502,261502,Neuroanatomy.
26.1503,261503,Neurobiology and Anatomy.
26.1504,261504,Neurobiology and Behavior.
26.1599,261599,"Neurobiology and Neurosciences, Other."
26.9999,269999,"Biological and Biomedical Sciences, Other."
27.0101,270101,"Mathematics, General."
27.0102,270102,Algebra and Number Theory.
27.0103,270103,Analysis and Functional Analysis.
27.0104,270104,Geometry/Geometric Analysis.
27.0105,270105,Topology and Foundations.
27.0199,270199,"Mathematics, Other."
27.0301,270301,"Applied Mathematics, General."
27.0303,270303,Computational Mathematics.
27.0304,270304,Computational and Applied Mathematics.
27.0305,270305,Financial Mathematics.
27.0306,270306,Mathematical Biology.
27.0399,270399,"Applied Mathematics, Other."
27.0501,270501,"Statistics, General."
27.0502,270502,Mathematical Statistics and Probability.
27.0503,270503,Mathematics and Statistics.
27.0599,270599,"Statistics, Other."
27.9999,279999,"Mathematics and Statistics, Other."
28.0101,280101,Air Force JROTC/ROTC.
28.0199,280199,"Air Force ROTC, Air Science and Operations, Other."
28.0301,280301,Army JROTC/ROTC.
28.0399,280399,"Army ROTC, Military Science and Operations, Other."
28.0401,280401,Navy/Marine Corps JROTC/ROTC.
28.0499,280499,"Navy/Marine Corps ROTC, Naval Science and Operations, Other."
28.0501,280501,Air Science/Airpower Studies.
28.0502,280502,Air and Space Operational Art and Science.
28.0503,280503,Military Operational Art and Science/Studies.
28.0504,280504,Advanced Military and Operational Studies.
28.0505,280505,Naval Science and Operational Studies.
28.0506,280506,"Special, Irregular and Counterterrorist Operations."
28.0599,280599,"Military Science and Operational Studies, Other."
28.0601,280601,"Strategic Studies, General."
28.0602,280602,Military and Strategic Leadership.
28.0603,280603,Military and International Operational Law.
28.0604,280604,Joint Operations Planning and Strategy.
28.0605,280605,Weapons of Mass Destruction.
28.0699,280699,"National Security Policy and Strategy, Other."
28.0701,280701,National Resource Strategy and Policy.
28.0702,280702,Industry Studies.
28.0703,280703,Military Installation Management.
28.0799,280799,"Military Economics and Management, Other."
28.9999,289999,"Military Science, Leadership and Operational Art, Other."
29.0101,290101,Military Technologies.
29.0201,290201,"Intelligence, General."
29.0202,290202,Strategic Intelligence.
29.0203,290203,Signal/Geospatial Intelligence.
29.0204,290204,"Command & Control (C3, C4I) Systems and Operations."
29.0205,290205,Information Operations/Joint Information Operations.
29.0206,290206,Information/Psychological Warfare and Military Media Relations.
29.0207,290207,Cyber/Electronic Operations and Warfare.
29.0299,290299,"Intelligence, Command Control and Information Operations, Other."
29.0301,290301,Combat Systems Engineering.
29.0302,290302,Directed Energy Systems.
29.0303,290303,Engineering Acoustics.
29.0304,290304,Low-Observables and Stealth Technology.
29.0305,290305,Space Systems Operations.
29.0306,290306,Operational Oceanography.
29.0307,290307,Undersea Warfare.
29.0399,290399,"Military Applied Sciences, Other."
29.0401,290401,Aerospace Ground Equipment Technology.
29.0402,290402,Air and Space Operations Technology.
29.0403,290403,Aircraft Armament Systems Technology.
29.0404,290404,Explosive Ordinance/Bomb Disposal.
29.0405,290405,"Joint Command/Task Force (C3, C4I) Systems."
29.0406,290406,Military Information Systems Technology.
29.0407,290407,Missile and Space Systems Technology.
29.0408,290408,Munitions Systems/Ordinance Technology.
29.0409,290409,Radar Communications and Systems Technology.
29.0499,290499,"Military Systems and Maintenance Technology, Other."
29.9999,299999,"Military Technologies and Applied Sciences, Other."
30.0000,300000,"Multi-/Interdisciplinary Studies, General."
30.0101,300101,Biological and Physical Sciences.
30.0501,300501,Peace Studies and Conflict Resolution.
30.0601,300601,Systems Science and Theory.
30.0801,300801,Mathematics and Computer Science.
30.1001,301001,Biopsychology.
30.1101,301101,Gerontology.
30.1201,301201,Historic Preservation and Conservation.
30.1202,301202,Cultural Resource Management and Policy Analysis.
30.1299,301299,"Historic Preservation and Conservation, Other."
30.1301,301301,Medieval and Renaissance Studies.
30.1401,301401,Museology/Museum Studies.
30.1501,301501,"Science, Technology and Society."
30.1601,301601,Accounting and Computer Science.
30.1701,301701,Behavioral Sciences.
30.1801,301801,Natural Sciences.
30.1901,301901,Nutrition Sciences.
30.2001,302001,International/Global Studies.
30.2101,302101,Holocaust and Related Studies.
30.2201,302201,Ancient Studies/Civilization.
30.2202,302202,"Classical, Ancient Mediterranean and Near Eastern Studies and Archaeology."
30.2301,302301,Intercultural/Multicultural and Diversity Studies.
30.2401,302401,Neuroscience.
30.2501,302501,Cognitive Science.
30.2601,302601,Cultural Studies/Critical Theory and Analysis.
30.2701,302701,Human Biology.
30.2801,302801,Dispute Resolution.
30.2901,302901,Maritime Studies.
30.3001,303001,Computational Science.
30.3101,303101,Human Computer Interaction.
30.3201,303201,Marine Sciences.
30.3301,303301,Sustainability Studies.
30.9999,309999,"Multi-/Interdisciplinary Studies, Other."
31.0101,310101,"Parks, Recreation and Leisure Studies."
31.0301,310301,"Parks, Recreation and Leisure Facilities Management, General."
31.0302,310302,Golf Course Operation and Grounds Management.
31.0399,310399,"Parks, Recreation and Leisure Facilities Management, Other."
31.0501,310501,"Health and Physical Education/Fitness, General."
31.0504,310504,Sport and Fitness Administration/Management.
31.0505,310505,Kinesiology and Exercise Science.
31.0507,310507,Physical Fitness Technician.
31.0508,310508,Sports Studies.
31.0599,310599,"Health and Physical Education/Fitness, Other."
31.0601,310601,Outdoor Education.
31.9999,319999,"Parks, Recreation, Leisure, and Fitness Studies, Other."
32.0101,320101,"Basic Skills and Developmental/Remedial Education, General."
32.0104,320104,Developmental/Remedial Mathematics.
32.0105,320105,Job-Seeking/Changing Skills.
32.0107,320107,Career Exploration/Awareness Skills.
32.0108,320108,Developmental/Remedial English.
32.0109,320109,Second Language Learning.
32.0110,320110,Basic Computer Skills.
32.0111,320111,Workforce Development and Training.
32.0199,320199,"Basic Skills and Developmental/Remedial Education, Other."
33.0101,330101,"Citizenship Activities, General."
33.0102,330102,American Citizenship Education.
33.0103,330103,Community Awareness.
33.0104,330104,Community Involvement.
33.0105,330105,Canadian Citizenship Education.
33.0199,330199,"Citizenship Activities, Other."
34.0102,340102,Birthing and Parenting Knowledge and Skills.
34.0103,340103,Personal Health Improvement and Maintenance.
34.0104,340104,Addiction Prevention and Treatment.
34.0199,340199,"Health-Related Knowledge and Skills, Other."
35.0101,350101,"Interpersonal and Social Skills, General."
35.0102,350102,Interpersonal Relationships Skills.
35.0103,350103,Business and Social Skills.
35.0199,350199,"Interpersonal Social Skills, Other."
36.0101,360101,"Leisure and Recreational Activities, General."
36.0102,360102,Handicrafts and Model-Making.
36.0103,360103,"Board, Card and Role-Playing Games."
36.0105,360105,Home Maintenance and Improvement.
36.0106,360106,Nature Appreciation.
36.0107,360107,Pet Ownership and Care.
36.0108,360108,Sports and Exercise.
36.0109,360109,Travel and Exploration.
36.0110,360110,Art.
36.0111,360111,Collecting.
36.0112,360112,Cooking and Other Domestic Skills.
36.0113,360113,Computer Games and Programming Skills.
36.0114,360114,Dancing.
36.0115,360115,Music.
36.0116,360116,Reading.
36.0117,360117,Theatre/Theater.
36.0118,360118,Writing.
36.0119,360119,Aircraft Pilot (Private).
36.0199,360199,"Leisure and Recreational Activities, Other."
37.0101,370101,Self-Awareness and Personal Assessment.
37.0102,370102,Stress Management and Coping Skills.
37.0103,370103,Personal Decision-Making Skills.
37.0104,370104,Self-Esteem and Values Clarification.
37.0199,370199,"Personal Awareness and Self-Improvement, Other."
38.0001,380001,"Philosophy and Religious Studies, General."
38.0101,380101,Philosophy.
38.0102,380102,Logic.
38.0103,380103,Ethics.
38.0104,380104,Applied and Professional Ethics.
38.0199,380199,"Philosophy, Other."
38.0201,380201,Religion/Religious Studies.
38.0202,380202,Buddhist Studies.
38.0203,380203,Christian Studies.
38.0204,380204,Hindu Studies.
38.0205,380205,Islamic Studies.
38.0206,380206,Jewish/Judaic Studies.
38.0299,380299,"Religion/Religious Studies, Other."
38.9999,389999,"Philosophy and Religious Studies, Other."
39.0201,390201,Bible/Biblical Studies.
39.0301,390301,Missions/Missionary Studies and Missiology.
39.0401,390401,Religious Education.
39.0501,390501,Religious/Sacred Music.
39.0601,390601,Theology/Theological Studies.
39.0602,390602,Divinity/Ministry.
39.0604,390604,Pre-Theology/Pre-Ministerial Studies.
39.0605,390605,Rabbinical Studies.
39.0606,390606,Talmudic Studies.
39.0699,390699,"Theological and Ministerial Studies, Other."
39.0701,390701,Pastoral Studies/Counseling.
39.0702,390702,Youth Ministry.
39.0703,390703,Urban Ministry.
39.0704,390704,Women's Ministry.
39.0705,390705,Lay Ministry.
39.0799,390799,"Pastoral Counseling and Specialized Ministries, Other."
39.9999,399999,"Theology and Religious Vocations, Other."
40.0101,400101,Physical Sciences.
40.0201,400201,Astronomy.
40.0202,400202,Astrophysics.
40.0203,400203,Planetary Astronomy and Science.
40.0299,400299,"Astronomy and Astrophysics, Other."
40.0401,400401,"Atmospheric Sciences and Meteorology, General."
40.0402,400402,Atmospheric Chemistry and Climatology.
40.0403,400403,Atmospheric Physics and Dynamics.
40.0404,400404,Meteorology.
40.0499,400499,"Atmospheric Sciences and Meteorology, Other."
40.0501,400501,"Chemistry, General."
40.0502,400502,Analytical Chemistry.
40.0503,400503,Inorganic Chemistry.
40.0504,400504,Organic Chemistry.
40.0506,400506,Physical Chemistry.
40.0507,400507,Polymer Chemistry.
40.0508,400508,Chemical Physics.
40.0509,400509,Environmental Chemistry.
40.0510,400510,Forensic Chemistry.
40.0511,400511,Theoretical Chemistry.
40.0599,400599,"Chemistry, Other."
40.0601,400601,"Geology/Earth Science, General."
40.0602,400602,Geochemistry.
40.0603,400603,Geophysics and Seismology.
40.0604,400604,Paleontology.
40.0605,400605,Hydrology and Water Resources Science.
40.0606,400606,Geochemistry and Petrology.
40.0607,400607,"Oceanography, Chemical and Physical."
40.0699,400699,"Geological and Earth Sciences/Geosciences, Other."
40.0801,400801,"Physics, General."
40.0802,400802,Atomic/Molecular Physics.
40.0804,400804,Elementary Particle Physics.
40.0805,400805,Plasma and High-Temperature Physics.
40.0806,400806,Nuclear Physics.
40.0807,400807,Optics/Optical Sciences.
40.0808,400808,Condensed Matter and Materials Physics.
40.0809,400809,Acoustics.
40.0810,400810,Theoretical and Mathematical Physics.
40.0899,400899,"Physics, Other."
40.1001,401001,Materials Science.
40.1002,401002,Materials Chemistry.
40.1099,401099,"Materials Sciences, Other."
40.9999,409999,"Physical Sciences, Other."
41.0000,410000,"Science Technologies/Technicians, General."
41.0101,410101,Biology Technician/Biotechnology Laboratory Technician.
41.0204,410204,Industrial Radiologic Technology/Technician.
41.0205,410205,Nuclear/Nuclear Power Technology/Technician.
41.0299,410299,"Nuclear and Industrial Radiologic Technologies/Technicians, Other."
41.0301,410301,Chemical Technology/Technician.
41.0303,410303,Chemical Process Technology.
41.0399,410399,"Physical Science Technologies/Technicians, Other."
41.9999,419999,"Science Technologies/Technicians, Other."
42.0101,420101,"Psychology, General."
42.0201,420201,Clinical Psychology.
42.0301,420301,Cognitive Psychology and Psycholinguistics.
42.0401,420401,Community Psychology.
42.0501,420501,Comparative Psychology.
42.0601,420601,Counseling Psychology.
42.0701,420701,Developmental and Child Psychology.
42.0801,420801,Experimental Psychology.
42.0901,420901,Industrial and Organizational Psychology.
42.1001,421001,Personality Psychology.
42.1101,421101,Physiological Psychology/Psychobiology.
42.1601,421601,Social Psychology.
42.1701,421701,School Psychology.
42.1801,421801,Educational Psychology.
42.1901,421901,Psychometrics and Quantitative Psychology.
42.2001,422001,Clinical Child Psychology.
42.2101,422101,Environmental Psychology.
42.2201,422201,Geropsychology.
42.2301,422301,Health/Medical Psychology.
42.2401,422401,Psychopharmacology.
42.2501,422501,Family Psychology.
42.2601,422601,Forensic Psychology.
42.2701,422701,Cognitive Psychology and Psycholinguistics.
42.2702,422702,Comparative Psychology.
42.2703,422703,Developmental and Child Psychology.
42.2704,422704,Experimental Psychology.
42.2705,422705,Personality Psychology.
42.2706,422706,Physiological Psychology/Psychobiology.
42.2707,422707,Social Psychology.
42.2708,422708,Psychometrics and Quantitative Psychology.
42.2709,422709,Psychopharmacology.
42.2799,422799,"Research and Experimental Psychology, Other."
42.2801,422801,Clinical Psychology.
42.2802,422802,Community Psychology.
42.2803,422803,Counseling Psychology.
42.2804,422804,Industrial and Organizational Psychology.
42.2805,422805,School Psychology.
42.2806,422806,Educational Psychology.
42.2807,422807,Clinical Child Psychology.
42.2808,422808,Environmental Psychology.
42.2809,422809,Geropsychology.
42.2810,422810,Health/Medical Psychology.
42.2811,422811,Family Psychology.
42.2812,422812,Forensic Psychology.
42.2813,422813,Applied Psychology.
42.2814,422814,Applied Behavior Analysis.
42.2899,422899,"Clinical, Counseling and Applied Psychology, Other."
42.9999,429999,"Psychology, Other."
43.0102,430102,Corrections.
43.0103,430103,Criminal Justice/Law Enforcement Administration.
43.0104,430104,Criminal Justice/Safety Studies.
43.0106,430106,Forensic Science and Technology.
43.0107,430107,Criminal Justice/Police Science.
43.0109,430109,Security and Loss Prevention Services.
43.0110,430110,Juvenile Corrections.
43.0111,430111,Criminalistics and Criminal Science.
43.0112,430112,Securities Services Administration/Management.
43.0113,430113,Corrections Administration.
43.0114,430114,Law Enforcement Investigation and Interviewing.
43.0115,430115,Law Enforcement Record-Keeping and Evidence Management.
43.0116,430116,Cyber/Computer Forensics and Counterterrorism.
43.0117,430117,Financial Forensics and Fraud Investigation.
43.0118,430118,Law Enforcement Intelligence Analysis.
43.0119,430119,Critical Incident Response/Special Police Operations.
43.0120,430120,Protective Services Operations.
43.0121,430121,Suspension and Debarment Investigation.
43.0122,430122,Maritime Law Enforcement.
43.0123,430123,Cultural/Archaelogical Resources Protection.
43.0199,430199,"Corrections and Criminal Justice, Other."
43.0201,430201,Fire Prevention and Safety Technology/Technician.
43.0202,430202,Fire Services Administration.
43.0203,430203,Fire Science/Fire-fighting.
43.0204,430204,Fire Systems Technology.
43.0205,430205,Fire/Arson Investigation and Prevention.
43.0206,430206,Wildland/Forest Firefighting and Investigation.
43.0299,430299,"Fire Protection, Other."
43.0301,430301,Homeland Security.
43.0302,430302,Crisis/Emergency/Disaster Management.
43.0303,430303,Critical Infrastructure Protection.
43.0304,430304,Terrorism and Counterterrorism Operations.
43.0399,430399,"Homeland Security, Other."
43.9999,439999,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other."
44.0000,440000,"Human Services, General."
44.0201,440201,Community Organization and Advocacy.
44.0401,440401,Public Administration.
44.0501,440501,"Public Policy Analysis, General."
44.0502,440502,Education Policy Analysis.
44.0503,440503,Health Policy Analysis.
44.0504,440504,International Policy Analysis.
44.0599,440599,"Public Policy Analysis, Other."
44.0701,440701,Social Work.
44.0702,440702,Youth Services/Administration.
44.0799,440799,"Social Work, Other."
44.9999,449999,"Public Administration and Social Service Professions, Other."
45.0101,450101,"Social Sciences, General."
45.0102,450102,Research Methodology and Quantitative Methods.
45.0201,450201,Anthropology.
45.0202,450202,Physical and Biological Anthropology.
45.0203,450203,Medical Anthropology.
45.0204,450204,Cultural Anthropology.
45.0299,450299,"Anthropology, Other."
45.0301,450301,Archeology.
45.0401,450401,Criminology.
45.0501,450501,Demography and Population Studies.
45.0601,450601,"Economics, General."
45.0602,450602,Applied Economics.
45.0603,450603,Econometrics and Quantitative Economics.
45.0604,450604,Development Economics and International Development.
45.0605,450605,International Economics.
45.0699,450699,"Economics, Other."
45.0701,450701,Geography.
45.0702,450702,Geographic Information Science and Cartography.
45.0799,450799,"Geography, Other."
45.0901,450901,International Relations and Affairs.
45.0902,450902,National Security Policy Studies.
45.0999,450999,"International Relations and National Security Studies, Other."
45.1001,451001,"Political Science and Government, General."
45.1002,451002,American Government and Politics (United States).
45.1003,451003,Canadian Government and Politics.
45.1004,451004,Political Economy.
45.1099,451099,"Political Science and Government, Other."
45.1101,451101,Sociology.
45.1201,451201,Urban Studies/Affairs.
45.1301,451301,Sociology and Anthropology.
45.1401,451401,Rural Sociology.
45.9999,459999,"Social Sciences, Other."
46.0000,460000,"Construction Trades, General."
46.0101,460101,Mason/Masonry.
46.0201,460201,Carpentry/Carpenter.
46.0301,460301,"Electrical and Power Transmission Installation/Installer, General."
46.0302,460302,Electrician.
46.0303,460303,Lineworker.
46.0399,460399,"Electrical and Power Transmission Installers, Other."
46.0401,460401,Building/Property Maintenance.
46.0402,460402,Concrete Finishing/Concrete Finisher.
46.0403,460403,Building/Home/Construction Inspection/Inspector.
46.0404,460404,Drywall Installation/Drywaller.
46.0406,460406,Glazier.
46.0408,460408,Painting/Painter and Wall Coverer.
46.0410,460410,Roofer.
46.0411,460411,Metal Building Assembly/Assembler.
46.0412,460412,Building/Construction Site Management/Manager.
46.0413,460413,"Carpet, Floor, and Tile Worker."
46.0414,460414,Insulator.
46.0415,460415,Building Construction Technology.
46.0499,460499,"Building/Construction Finishing, Management, and Inspection, Other."
46.0502,460502,Pipefitting/Pipefitter and Sprinkler Fitter.
46.0503,460503,Plumbing Technology/Plumber.
46.0504,460504,Well Drilling/Driller.
46.0505,460505,Blasting/Blaster.
46.0599,460599,"Plumbing and Related Water Supply Services, Other."
46.9999,469999,"Construction Trades, Other."
47.0000,470000,"Mechanics and Repairers, General."
47.0101,470101,"Electrical/Electronics Equipment Installation and Repair, General."
47.0102,470102,Business Machine Repair.
47.0103,470103,Communications Systems Installation and Repair Technology.
47.0104,470104,Computer Installation and Repair Technology/Technician.
47.0105,470105,Industrial Electronics Technology/Technician.
47.0106,470106,Appliance Installation and Repair Technology/Technician.
47.0110,470110,"Security System Installation, Repair, and Inspection Technology/Technician."
47.0199,470199,"Electrical/Electronics Maintenance and Repair Technology, Other."
47.0201,470201,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician."
47.0302,470302,Heavy Equipment Maintenance Technology/Technician.
47.0303,470303,Industrial Mechanics and Maintenance Technology.
47.0399,470399,"Heavy/Industrial Equipment Maintenance Technologies, Other."
47.0402,470402,Gunsmithing/Gunsmith.
47.0403,470403,Locksmithing and Safe Repair.
47.0404,470404,Musical Instrument Fabrication and Repair.
47.0408,470408,Watchmaking and Jewelrymaking.
47.0409,470409,Parts and Warehousing Operations and Maintenance Technology/Technician.
47.0499,470499,"Precision Systems Maintenance and Repair Technologies, Other."
47.0600,470600,"Vehicle Maintenance and Repair Technologies, General."
47.0603,470603,Autobody/Collision and Repair Technology/Technician.
47.0604,470604,Automobile/Automotive Mechanics Technology/Technician.
47.0605,470605,Diesel Mechanics Technology/Technician.
47.0606,470606,Small Engine Mechanics and Repair Technology/Technician.
47.0607,470607,Airframe Mechanics and Aircraft Maintenance Technology/Technician.
47.0608,470608,Aircraft Powerplant Technology/Technician.
47.0609,470609,Avionics Maintenance Technology/Technician.
47.0610,470610,Bicycle Mechanics and Repair Technology/Technician.
47.0611,470611,Motorcycle Maintenance and Repair Technology/Technician.
47.0612,470612,Vehicle Emissions Inspection and Maintenance Technology/Technician.
47.0613,470613,Medium/Heavy Vehicle and Truck Technology/Technician.
47.0614,470614,Alternative Fuel Vehicle Technology/Technician.
47.0615,470615,Engine Machinist.
47.0616,470616,Marine Maintenance/Fitter and Ship Repair Technology/Technician.
47.0617,470617,High Performance and Custom Engine Technician/Mechanic.
47.0618,470618,Recreation Vehicle (RV) Service Technician.
47.0699,470699,"Vehicle Maintenance and Repair Technologies, Other."
47.9999,479999,"Mechanic and Repair Technologies/Technicians, Other."
48.0000,480000,"Precision Production Trades, General."
48.0303,480303,Upholstery/Upholsterer.
48.0304,480304,"Shoe, Boot and Leather Repair."
48.0399,480399,"Leatherworking and Upholstery, Other."
48.0501,480501,Machine Tool Technology/Machinist.
48.0503,480503,Machine Shop Technology/Assistant.
48.0506,480506,Sheet Metal Technology/Sheetworking.
48.0507,480507,Tool and Die Technology/Technician.
48.0508,480508,Welding Technology/Welder.
48.0509,480509,Ironworking/Ironworker.
48.0510,480510,Computer Numerically Controlled (CNC) Machinist Technology/CNC Machinist.
48.0511,480511,Metal Fabricator.
48.0599,480599,"Precision Metal Working, Other."
48.0701,480701,"Woodworking, General."
48.0702,480702,Furniture Design and Manufacturing.
48.0703,480703,Cabinetmaking and Millwork.
48.0799,480799,"Woodworking, Other."
48.0801,480801,Boilermaking/Boilermaker.
48.9999,489999,"Precision Production, Other."
49.0101,490101,"Aeronautics/Aviation/Aerospace Science and Technology, General."
49.0102,490102,Airline/Commercial/Professional Pilot and Flight Crew.
49.0104,490104,Aviation/Airway Management and Operations.
49.0105,490105,Air Traffic Controller.
49.0106,490106,Airline Flight Attendant.
49.0108,490108,Flight Instructor.
49.0199,490199,"Air Transportation, Other."
49.0202,490202,Construction/Heavy Equipment/Earthmoving Equipment Operation.
49.0205,490205,Truck and Bus Driver/Commercial Vehicle Operator and Instructor.
49.0206,490206,Mobil Crane Operation/Operator.
49.0207,490207,Flagging and Traffic Control.
49.0208,490208,Railroad and Railway Transportation.
49.0299,490299,"Ground Transportation, Other."
49.0303,490303,Commercial Fishing.
49.0304,490304,"Diver, Professional and Instructor."
49.0309,490309,Marine Science/Merchant Marine Officer.
49.0399,490399,"Marine Transportation, Other."
49.9999,499999,"Transportation and Materials Moving, Other."
50.0101,500101,"Visual and Performing Arts, General."
50.0102,500102,Digital Arts.
50.0201,500201,"Crafts/Craft Design, Folk Art and Artisanry."
50.0301,500301,"Dance, General."
50.0302,500302,Ballet.
50.0399,500399,"Dance, Other."
50.0401,500401,"Design and Visual Communications, General."
50.0402,500402,Commercial and Advertising Art.
50.0404,500404,Industrial and Product Design.
50.0406,500406,Commercial Photography.
50.0407,500407,Fashion/Apparel Design.
50.0408,500408,Interior Design.
50.0409,500409,Graphic Design.
50.0410,500410,Illustration.
50.0411,500411,Game and Interactive Media Design.
50.0499,500499,"Design and Applied Arts, Other."
50.0501,500501,"Drama and Dramatics/Theatre Arts, General."
50.0502,500502,Technical Theatre/Theatre Design and Technology.
50.0504,500504,Playwriting and Screenwriting.
50.0505,500505,"Theatre Literature, History and Criticism."
50.0506,500506,Acting.
50.0507,500507,Directing and Theatrical Production.
50.0508,500508,Theatre/Theatre Arts Management.
50.0509,500509,Musical Theatre.
50.0510,500510,Costume Design.
50.0599,500599,"Dramatic/Theatre Arts and Stagecraft, Other."
50.0601,500601,Film/Cinema/Video Studies.
50.0602,500602,Cinematography and Film/Video Production.
50.0605,500605,Photography.
50.0607,500607,Documentary Production.
50.0699,500699,"Film/Video and Photographic Arts, Other."
50.0701,500701,"Art/Art Studies, General."
50.0702,500702,"Fine/Studio Arts, General."
